iter	Passed	Remaining
0	616	615641
1	617	308332
2	619	205744
3	625	155743
4	626	124753
5	628	104095
6	629	89338
7	631	78251
8	632	69660
9	633	62754
10	644	57902
11	645	53141
12	646	49106
13	648	45667
14	649	42657
15	651	40047
16	652	37745
17	654	35681
18	655	33841
19	657	32199
20	658	30693
21	667	29679
22	668	28415
23	670	27255
24	671	26194
25	673	25219
26	674	24305
27	681	23661
28	683	22874
29	684	22134
30	685	21438
31	687	20786
32	688	20175
33	700	19906
34	702	19371
35	704	18869
36	711	18526
37	713	18071
38	715	17628
39	716	17206
40	718	16802
41	719	16418
42	729	16231
43	730	15879
44	732	15537
45	733	15210
46	735	14903
47	741	14712
48	743	14425
49	744	14149
50	746	13883
51	747	13626
52	748	13380
53	750	13144
54	759	13041
55	760	12814
56	761	12595
57	762	12382
58	763	12179
59	764	11982
60	765	11791
61	771	11677
62	773	11499
63	774	11327
64	775	11158
65	776	10995
66	778	10836
67	779	10682
68	780	10532
69	781	10386
70	786	10292
71	787	10154
72	789	10021
73	790	9889
74	791	9761
75	792	9636
76	793	9516
77	795	9399
78	796	9283
79	799	9196
80	801	9091
81	802	8984
82	803	8875
83	804	8774
84	805	8674
85	806	8576
86	808	8482
87	809	8388
88	810	8297
89	811	8208
90	817	8165
91	822	8114
92	823	8032
93	825	7951
94	826	7871
95	827	7792
96	831	7737
97	832	7662
98	833	7588
99	834	7514
100	836	7442
101	837	7374
102	838	7304
103	840	7237
104	841	7171
105	842	7105
106	847	7075
107	849	7012
108	850	6951
109	851	6890
110	852	6829
111	853	6770
112	855	6711
113	856	6654
114	857	6598
115	861	6561
116	862	6506
117	863	6452
118	864	6401
119	865	6349
120	866	6298
121	867	6246
122	869	6197
123	870	6148
124	871	6100
125	872	6053
126	877	6030
127	879	5988
128	880	5944
129	881	5899
130	882	5855
131	883	5811
132	884	5768
133	886	5727
134	887	5686
135	889	5653
136	891	5617
137	893	5578
138	894	5540
139	895	5501
140	896	5462
141	897	5422
142	898	5385
143	899	5348
144	900	5312
145	902	5276
146	903	5241
147	905	5210
148	906	5176
149	907	5142
150	908	5109
151	909	5076
152	911	5043
153	912	5011
154	913	4979
155	914	4948
156	918	4930
157	919	4902
158	921	4873
159	922	4843
160	923	4812
161	924	4783
162	925	4754
163	927	4726
164	928	4698
165	929	4670
166	934	4663
167	936	4636
168	937	4610
169	938	4583
170	939	4556
171	941	4530
172	942	4504
173	943	4478
174	944	4453
175	948	4440
176	949	4415
177	951	4392
178	952	4367
179	953	4343
180	954	4319
181	956	4296
182	957	4274
183	958	4251
184	959	4228
185	968	4236
186	969	4216
187	971	4194
188	972	4171
189	973	4150
190	974	4128
191	975	4106
192	980	4101
193	982	4080
194	983	4060
195	984	4039
196	985	4018
197	987	3998
198	988	3978
199	989	3957
200	990	3938
201	996	3937
202	997	3917
203	999	3898
204	1000	3878
205	1001	3860
206	1002	3841
207	1004	3823
208	1005	3804
209	1006	3785
210	1010	3778
211	1011	3760
212	1013	3743
213	1014	3726
214	1015	3708
215	1017	3692
216	1018	3676
217	1020	3658
218	1021	3641
219	1026	3638
220	1027	3622
221	1028	3605
222	1030	3589
223	1031	3572
224	1032	3556
225	1033	3540
226	1034	3523
227	1035	3507
228	1038	3497
229	1040	3483
230	1041	3467
231	1042	3452
232	1044	3436
233	1045	3421
234	1046	3407
235	1047	3392
236	1049	3377
237	1050	3362
238	1051	3347
239	1056	3346
240	1057	3332
241	1059	3317
242	1060	3303
243	1061	3288
244	1062	3275
245	1064	3261
246	1065	3248
247	1068	3239
248	1070	3227
249	1071	3214
250	1073	3204
251	1076	3196
252	1078	3184
253	1079	3170
254	1080	3157
255	1082	3144
256	1083	3133
257	1085	3121
258	1086	3108
259	1087	3095
260	1088	3082
261	1089	3070
262	1091	3057
263	1093	3047
264	1094	3036
265	1095	3023
266	1097	3011
267	1098	2999
268	1099	2987
269	1100	2975
270	1101	2963
271	1102	2951
272	1107	2949
273	1110	2941
274	1111	2931
275	1113	2920
276	1114	2909
277	1115	2897
278	1116	2886
279	1118	2874
280	1119	2863
281	1121	2854
282	1122	2843
283	1123	2832
284	1124	2821
285	1125	2811
286	1127	2800
287	1128	2790
288	1129	2779
289	1130	2768
290	1132	2758
291	1137	2758
292	1139	2748
293	1140	2738
294	1141	2727
295	1142	2717
296	1143	2707
297	1145	2697
298	1146	2687
299	1147	2677
300	1151	2673
301	1152	2663
302	1153	2654
303	1155	2644
304	1156	2634
305	1157	2624
306	1158	2615
307	1159	2605
308	1160	2596
309	1162	2586
310	1165	2583
311	1167	2574
312	1168	2565
313	1170	2556
314	1171	2546
315	1172	2537
316	1173	2528
317	1174	2519
318	1175	2510
319	1177	2501
320	1178	2492
321	1182	2488
322	1183	2480
323	1184	2472
324	1186	2463
325	1187	2454
326	1188	2445
327	1189	2437
328	1190	2428
329	1191	2420
330	1193	2411
331	1198	2411
332	1199	2402
333	1200	2394
334	1201	2386
335	1203	2377
336	1204	2369
337	1205	2360
338	1206	2352
339	1207	2344
340	1210	2339
341	1211	2331
342	1213	2323
343	1214	2315
344	1215	2307
345	1217	2300
346	1218	2292
347	1219	2284
348	1220	2276
349	1221	2269
350	1222	2261
351	1226	2257
352	1227	2250
353	1229	2242
354	1230	2235
355	1231	2227
356	1232	2220
357	1233	2212
358	1234	2204
359	1236	2197
360	1237	2190
361	1241	2188
362	1245	2186
363	1247	2179
364	1248	2172
365	1250	2165
366	1251	2158
367	1252	2150
368	1253	2143
369	1257	2140
370	1258	2133
371	1260	2127
372	1261	2120
373	1262	2113
374	1263	2106
375	1265	2099
376	1266	2092
377	1267	2085
378	1268	2078
379	1273	2078
380	1275	2071
381	1276	2064
382	1277	2057
383	1278	2051
384	1279	2044
385	1280	2037
386	1282	2030
387	1283	2024
388	1285	2019
389	1287	2013
390	1288	2007
391	1290	2001
392	1291	1995
393	1292	1988
394	1294	1982
395	1295	1975
396	1296	1969
397	1297	1962
398	1298	1956
399	1304	1956
400	1306	1951
401	1307	1944
402	1309	1939
403	1310	1933
404	1311	1927
405	1312	1920
406	1314	1914
407	1317	1911
408	1319	1906
409	1320	1900
410	1321	1894
411	1323	1888
412	1324	1882
413	1326	1877
